file	percent	reads	taxon_id	taxon_name
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.005211	12	1243	NA;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.005211	12	543311	NA;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.005211	12	580596	NA;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.004777	11	547	NA;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.004777	11	2048137	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Agathobaculum;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.004342	10	1357	NA;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.004342	10	37914	NA;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.004342	10	182709	NA;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.013461	31	10239	Viruses
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	7.558828	17407	NA	cannot be assigned to a (non-viral) genus
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	0.208436	480	NA	belong to a (non-viral) genus having less than 10 reads
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N10_Nuria_S301_L001_kaiju	54.194117	124802	NA	unclassified
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	69.214584	979549	1578	NA;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.534046	7558	810	NA;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.106484	1507	1301	NA;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.100831	1427	1485	NA;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.083873	1187	1350	NA;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.060202	852	216851	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.048402	685	2701	NA;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.046989	665	194	NA;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.046777	662	1678	NA;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.042396	600	1506553	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.041689	590	1279	NA;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.036178	512	816	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.035047	496	662	NA;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.032786	464	209	NA;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.020421	289	1386	NA;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.017170	243	572511	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.016464	233	1253	NA;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.014627	207	239759	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.013779	195	2697	NA;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;Heliobacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.012577	178	1637	NA;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.012365	175	543311	NA;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.012365	175	1017280	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.011941	169	46255	NA;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.010528	149	397864	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.009963	141	59753	NA;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.009610	136	1243	NA;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.008550	121	1716	NA;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.007773	110	1263	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.006854	97	946234	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.006430	91	1357	NA;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.006359	90	1730	NA;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.005865	83	261684	NA;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;Thermosinus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.005370	76	2747	NA;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.004734	67	33024	NA;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.004734	67	292632	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.004593	65	32008	NA;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.004098	58	1505663	NA;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.003745	53	46254	NA;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Oenococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.003674	52	459786	NA;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.003462	49	1924093	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaeromassilibacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.003392	48	44249	NA;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.003109	44	1883	NA;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002897	41	1654	NA;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002897	41	83461	NA;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Corallococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002826	40	286	NA;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002544	36	1870884	NA;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridioides;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002473	35	413	NA;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002473	35	580596	NA;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002402	34	561	NA;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002332	33	29465	NA;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002332	33	129337	NA;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002049	29	841	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002049	29	182709	NA;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.002049	29	379065	NA;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldalkalibacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001978	28	2048137	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Agathobaculum;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001766	25	838	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001625	23	204475	NA;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001555	22	400634	NA;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001484	21	2737	NA;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001413	20	374	NA;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001413	20	469	NA;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001413	20	1817	NA;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001413	20	2093	NA;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001413	20	35832	NA;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001413	20	82802	NA;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001413	20	559173	NA;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Fructobacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001413	20	1928820	NA;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Intestinibacillus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001343	19	830	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001343	19	265975	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001272	18	2755	NA;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001272	18	171413	NA;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Dolosicoccus;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001272	18	1501226	NA;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001272	18	2023266	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Merdimonas;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001201	17	2335	NA;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001201	17	283168	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001201	17	375288	NA;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001201	17	1924110	NA;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Massiliomicrobiota;NA;
/data/Food/analysis/R0602_microsupport/r0937/4__kaiju/_N11_Nuria_S302_L001_kaiju	0.001131	16	33042	NA;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;NA;
