name	taxonomy_id	taxonomy_lvl	GF6-1P.bracken_num	GF6-1P.bracken_frac	GF6-2P.bracken_num	GF6-2P.bracken_frac	GF6-3P.bracken_num	GF6-3P.bracken_frac	GF7-1P.bracken_num	GF7-1P.bracken_frac	GF7-2P.bracken_num	GF7-2P.bracken_frac	GF7-3P.bracken_num	GF7-3P.bracken_frac	P2558.bracken_num	P2558.bracken_frac	P2560.bracken_num	P2560.bracken_frac	P2618.bracken_num	P2618.bracken_frac	P2620.bracken_num	P2620.bracken_frac	Q1T1.bracken_num	Q1T1.bracken_frac	Q2T2.bracken_num	Q2T2.bracken_frac	Q3T3.bracken_num	Q3T3.bracken_frac	Q4T7.bracken_num	Q4T7.bracken_frac	Q4T8.bracken_num	Q4T8.bracken_frac	Q5T4.bracken_num	Q5T4.bracken_frac	Q5T5.bracken_num	Q5T5.bracken_frac	Q5T6.bracken_num	Q5T6.bracken_frac	Q5T9.bracken_num	Q5T9.bracken_frac	Q6T10.bracken_num	Q6T10.bracken_frac
Lactobacillus lindneri	53444	S	0	0.00000	0	0.00000	0	0.00000	14	0.00001	0	0.00000	0	0.00000	18	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter cloacae complex sp. 35734	1870930	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	10	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	36	0.00001
Halomonas sp. GFAJ-1	1118153	S	0	0.00000	0	0.00000	0	0.00000	87	0.00004	12	0.00000	84	0.00003	409	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00001	0	0.00000	0	0.00000	178	0.00009	0	0.00000	0	0.00000	0	0.00000
Pseudomonas synxantha	47883	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	47	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cedecea neteri	158822	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000
Proteus mirabilis	584	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	252	0.00005	0	0.00000	11	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	28	0.00001	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pseudomonas sp. LG1E9	2219057	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lactococcus virus Bibb29	494269	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2199	0.00039	0	0.00000	923	0.00009	904	0.00017	0	0.00000	0	0.00000	0	0.00000	11761	0.00297	3378	0.00216	0	0.00000	0	0.00000	0	0.00000	23	0.00001	323	0.00005
Oblitimonas alkaliphila	1697053	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium botulinum	1491	S	1326	0.00093	3084	0.00174	16076	0.01781	5481	0.00242	2346	0.00095	3495	0.00123	837	0.00015	276	0.00002	412	0.00004	700	0.00013	4943	0.00331	20018	0.00552	22778	0.00733	20678	0.00522	36217	0.02312	21395	0.09614	13463	0.00696	21465	0.01946	16551	0.00437	30091	0.00464
Pseudomonas alkylphenolica	237609	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Erwinia phage vB_EamM_Caitlin	1883379	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	36	0.00001	118	0.00002
Lactobacillus curieae	1138822	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	38	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000
Arthrobacter crystallopoietes	37928	S	28	0.00002	27	0.00002	0	0.00000	30	0.00001	22	0.00001	19	0.00001	18	0.00000	0	0.00000	0	0.00000	0	0.00000	179	0.00012	204	0.00006	14	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Jonesia denitrificans	43674	S	0	0.00000	12	0.00001	11	0.00001	0	0.00000	0	0.00000	0	0.00000	79	0.00001	10	0.00000	15	0.00000	0	0.00000	100	0.00007	114	0.00003	95	0.00003	75	0.00002	15	0.00001	0	0.00000	38	0.00002	0	0.00000	0	0.00000	0	0.00000
Staphylococcus succinus	61015	S	710	0.00050	1883	0.00106	1170	0.00130	2094	0.00092	2483	0.00100	2950	0.00104	243	0.00004	2251	0.00014	9681	0.00092	2518	0.00048	178	0.00012	15	0.00000	42	0.00001	92	0.00002	172	0.00011	205	0.00092	1047	0.00054	121	0.00011	102	0.00003	289	0.00004
Klebsiella pneumoniae	573	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	52	0.00001	310	0.00002	561	0.00005	612	0.00012	0	0.00000	0	0.00000	0	0.00000	6191	0.00156	3736	0.00238	0	0.00000	0	0.00000	0	0.00000	160	0.00004	313	0.00005
Elizabethkingia anophelis	1117645	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	438	0.00012	2110	0.00033
Cryobacterium sp. LW097	1978566	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Brachybacterium faecium	43669	S	8317	0.00586	5474	0.00308	699	0.00077	11260	0.00497	7758	0.00313	11815	0.00416	3383	0.00061	655	0.00004	883	0.00008	84	0.00002	18342	0.01230	18694	0.00516	14199	0.00457	3562	0.00090	814	0.00052	318	0.00143	9386	0.00485	430	0.00039	648	0.00017	699	0.00011
Staphylococcus virus G1	292029	S	0	0.00000	47	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter sp. SA187	1914861	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	36	0.00001
Neomicrococcus aestuarii	556325	S	0	0.00000	24	0.00001	0	0.00000	21	0.00001	23	0.00001	14	0.00000	156	0.00003	0	0.00000	0	0.00000	0	0.00000	187	0.00013	162	0.00004	16	0.00001	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Arthrobacter sp. U41	1849032	S	0	0.00000	14	0.00001	0	0.00000	19	0.00001	15	0.00001	10	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	156	0.00010	120	0.00003	26	0.00001	15	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodococcus pyridinivorans	103816	S	0	0.00000	0	0.00000	0	0.00000	12	0.00001	0	0.00000	19	0.00001	1280	0.00023	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paracoccus zhejiangensis	1077935	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aeromicrobium erythreum	2041	S	0	0.00000	10	0.00001	0	0.00000	0	0.00000	14	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Marinilactibacillus sp. 15R	1911586	S	0	0.00000	29	0.00002	0	0.00000	102	0.00005	1947	0.00079	1127	0.00040	43403	0.00776	13	0.00000	34	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	151	0.00004	13	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Agrobacterium rhizogenes	359	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	51	0.00001	13	0.00001	0	0.00000	0	0.00000	0	0.00000	29	0.00001	60	0.00001
Gordonia bronchialis	2054	S	175	0.00012	128	0.00007	23	0.00003	34	0.00002	39	0.00002	37	0.00001	76	0.00001	0	0.00000	33	0.00000	0	0.00000	64	0.00004	115	0.00003	76	0.00002	35	0.00001	0	0.00000	0	0.00000	26	0.00001	0	0.00000	0	0.00000	0	0.00000
Rhodococcus biphenylivorans	1500843	S	23	0.00002	85	0.00005	12	0.00001	29	0.00001	54	0.00002	26	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00002	59	0.00002	49	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Microvirga ossetica	1882682	S	0	0.00000	0	0.00000	0	0.00000	23	0.00001	0	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Lactobacillus allii	1847728	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	96	0.00001	26	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000
Serratia proteamaculans	28151	S	0	0.00000	0	0.00000	17	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	322	0.00002	557	0.00005	432	0.00008	0	0.00000	0	0.00000	3109	0.00100	27	0.00001	30	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterococcus virus FL1	1633149	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000
Streptomyces sp. Go-475	2072505	S	21	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00001	14	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Microbacterium sp. PAMC 28756	1795053	S	0	0.00000	19	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00001	0	0.00000	30	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Micrococcus luteus	1270	S	287	0.00020	198	0.00011	53	0.00006	618	0.00027	510	0.00021	780	0.00027	118	0.00002	66	0.00000	67	0.00001	14	0.00000	566	0.00038	643	0.00018	326	0.00010	191	0.00005	44	0.00003	17	0.00008	350	0.00018	29	0.00003	12	0.00000	32	0.00000
Lactobacillus salivarius	1624	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	22	0.00000	0	0.00000	24	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	35	0.00001	26	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Erwinia phage vB_EamM_ChrisDB	1883371	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	26	0.00000
Pantoea sp. PSNIH2	1484157	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000
Escherichia phage HK639	906669	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000	32	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Corynebacterium provencense	1737425	S	0	0.00000	0	0.00000	0	0.00000	17	0.00001	84	0.00003	0	0.00000	41	0.00001	0	0.00000	219	0.00002	0	0.00000	0	0.00000	0	0.00000	12	0.00000	67	0.00002	41	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Erwinia sp. Ejp617	215689	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	41	0.00001	29	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Salinicola tamaricis	1771309	S	0	0.00000	0	0.00000	0	0.00000	85	0.00004	11	0.00000	33	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	60	0.00004	0	0.00000	10	0.00001	0	0.00000	0	0.00000	56	0.00001
Shewanella sp. W3-18-1	351745	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	31	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Modestobacter marinus	477641	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00001	23	0.00001	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
