perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	6_all	6_lvl	7_all	7_lvl	8_all	8_lvl	9_all	9_lvl	10_all	10_lvl	11_all	11_lvl	12_all	12_lvl	lvl_type	taxid	name
0.0036	1607	1607	7	7	179	179	630	630	1	1	0	0	1	1	0	0	0	0	241	241	543	543	5	5	0	0	S1	1041521	                    Lactobacillus salivarius GJ-24
0.0008	348	348	4	4	40	40	85	85	1	1	0	0	1	1	0	0	3	3	168	168	42	42	3	3	1	1	S1	1108963	                    Lactobacillus salivarius SMXD51
0.0000	13	13	0	0	1	1	4	4	2	2	0	0	0	0	0	0	0	0	5	5	1	1	0	0	0	0	S1	1273133	                    Lactobacillus salivarius cp400
0.0000	4	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	S1	1194971	                    Lactobacillus salivarius str. Ren
0.0926	41149	37979	511	467	6974	6330	21537	19900	11	10	0	0	2	2	0	0	2	2	312	283	11636	10837	162	146	2	2	S	1587	                  Lactobacillus helveticus
0.0039	1719	1719	23	23	400	400	919	919	1	1	0	0	0	0	0	0	0	0	16	16	351	351	9	9	0	0	S1	405566	                    Lactobacillus helveticus DPC 4571
0.0015	683	683	8	8	123	123	342	342	0	0	0	0	0	0	0	0	0	0	9	9	200	200	1	1	0	0	S1	1226335	                    Lactobacillus helveticus CIRM-BIA 953
0.0007	333	333	5	5	60	60	189	189	0	0	0	0	0	0	0	0	0	0	2	2	75	75	2	2	0	0	S1	1226334	                    Lactobacillus helveticus CIRM-BIA 951
0.0006	285	285	6	6	35	35	104	104	0	0	0	0	0	0	0	0	0	0	0	0	137	137	3	3	0	0	S1	767462	                    Lactobacillus helveticus H10
0.0002	106	106	2	2	19	19	58	58	0	0	0	0	0	0	0	0	0	0	1	1	26	26	0	0	0	0	S1	767456	                    Lactobacillus helveticus H9
0.0001	43	43	0	0	7	7	24	24	0	0	0	0	0	0	0	0	0	0	1	1	10	10	1	1	0	0	S1	1226333	                    Lactobacillus helveticus CIRM-BIA 104
0.0000	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	S1	1226336	                    Lactobacillus helveticus CIRM-BIA 101
0.0817	36311	36311	468	468	4178	4178	15300	15300	12	12	2	2	7	7	0	0	2	2	444	444	15670	15670	222	222	6	6	S	2042042	                  Lactobacillus sp. UMNPBX5
0.0810	36010	0	487	0	6519	0	17815	0	2	0	0	0	1	0	0	0	0	0	191	0	10844	0	147	0	4	0	S	237446	                  Lactobacillus kitasatonis
0.0810	36010	36010	487	487	6519	6519	17815	17815	2	2	0	0	1	1	0	0	0	0	191	191	10844	10844	147	147	4	4	S1	1423767	                    Lactobacillus kitasatonis DSM 16761 = JCM 1039
0.0789	35083	35083	587	587	3295	3295	22772	22772	0	0	0	0	0	0	0	0	0	0	1	1	8158	8158	269	269	1	1	S	1970790	                  Lactobacillus timonensis
0.0582	25866	15071	208	122	2912	1697	17827	10387	2	1	0	0	0	0	0	0	0	0	18	5	4864	2837	28	15	7	7	S	228229	                  Lactobacillus saerimneri
0.0130	5758	5758	41	41	660	660	3944	3944	1	1	0	0	0	0	0	0	0	0	7	7	1098	1098	7	7	0	0	S1	1122153	                    Lactobacillus saerimneri DSM 16049
0.0113	5037	5037	45	45	555	555	3496	3496	0	0	0	0	0	0	0	0	0	0	6	6	929	929	6	6	0	0	S1	1227363	                    Lactobacillus saerimneri 30a
0.0578	25668	25668	323	323	4521	4521	12716	12716	2	2	0	0	1	1	0	0	1	1	144	144	7869	7869	91	91	0	0	S	2042030	                  Lactobacillus sp. UMNPBX17
0.0567	25179	25179	345	345	4672	4672	12745	12745	4	4	1	1	0	0	0	0	0	0	39	39	7276	7276	97	97	0	0	S	2042043	                  Lactobacillus sp. UMNPBX4
0.0549	24391	15153	401	241	4182	2653	12095	7470	0	0	0	0	0	0	0	0	0	0	12	9	7516	4677	184	102	1	1	S	35787	                  Lactobacillus pontis
0.0208	9238	9238	160	160	1529	1529	4625	4625	0	0	0	0	0	0	0	0	0	0	3	3	2839	2839	82	82	0	0	S1	1423794	                    Lactobacillus pontis DSM 8475
0.0421	18718	18279	279	269	3408	3342	10075	9835	1	1	0	0	4	4	0	0	5	5	763	754	4090	3980	89	85	4	4	S	508451	                  Lactobacillus taiwanensis
0.0010	439	439	10	10	66	66	240	240	0	0	0	0	0	0	0	0	0	0	9	9	110	110	4	4	0	0	S1	1423809	                    Lactobacillus taiwanensis DSM 21401
0.0393	17449	14152	177	144	2360	1923	6471	5246	1	0	0	0	0	0	0	0	0	0	9	4	8390	6799	41	36	0	0	S	97478	                  Lactobacillus mucosae
0.0042	1853	1853	16	16	259	259	700	700	0	0	0	0	0	0	0	0	0	0	0	0	875	875	3	3	0	0	S1	1130798	                    Lactobacillus mucosae LM1
0.0032	1444	1444	17	17	178	178	525	525	1	1	0	0	0	0	0	0	0	0	5	5	716	716	2	2	0	0	S1	1423771	                    Lactobacillus mucosae DSM 13345
0.0296	13137	12810	27	27	263	262	829	826	75	73	6	5	24	24	0	0	92	89	10796	10484	946	942	18	17	61	61	S	1601	                  Lactobacillus agilis
0.0007	327	327	0	0	1	1	3	3	2	2	1	1	0	0	0	0	3	3	312	312	4	4	1	1	0	0	S1	1423718	                    Lactobacillus agilis DSM 20509
0.0280	12432	7759	182	113	1782	1198	5485	3427	1	1	0	0	0	0	0	0	0	0	53	42	4838	2924	91	54	0	0	S	148604	                  Lactobacillus ingluviei
0.0057	2521	2521	40	40	310	310	1104	1104	0	0	0	0	0	0	0	0	0	0	6	6	1038	1038	23	23	0	0	S1	1203076	                    Lactobacillus ingluviei str. Autruche 4
0.0048	2152	2152	29	29	274	274	954	954	0	0	0	0	0	0	0	0	0	0	5	5	876	876	14	14	0	0	S1	1423760	                    Lactobacillus ingluviei DSM 15946
0.0226	10046	0	176	0	903	0	6591	0	0	0	0	0	0	0	0	0	0	0	2	0	2313	0	61	0	0	0	S	181675	                  Lactobacillus coleohominis
0.0226	10046	10046	176	176	903	903	6591	6591	0	0	0	0	0	0	0	0	0	0	2	2	2313	2313	61	61	0	0	S1	575594	                    Lactobacillus coleohominis 101-4-CHN
0.0197	8756	0	114	0	1181	0	3968	0	2	0	0	0	0	0	0	0	0	0	39	0	3393	0	59	0	0	0	S	47493	                  Lactobacillus panis
0.0197	8756	8756	114	114	1181	1181	3968	3968	2	2	0	0	0	0	0	0	0	0	39	39	3393	3393	59	59	0	0	S1	1423782	                    Lactobacillus panis DSM 6035
0.0182	8076	0	124	0	1030	0	4454	0	0	0	0	0	0	0	0	0	1	0	201	0	2246	0	20	0	0	0	S	1203069	                  Lactobacillus gigeriorum
0.0182	8076	8076	124	124	1030	1030	4454	4454	0	0	0	0	0	0	0	0	1	1	201	201	2246	2246	20	20	0	0	S1	1423751	                    Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85
0.0161	7156	7156	91	91	1060	1060	3321	3321	1	1	1	1	1	1	0	0	0	0	65	65	2562	2562	54	54	0	0	S	2042037	                  Lactobacillus sp. UMNPBX10
0.0149	6623	6470	79	76	1037	1018	3263	3179	1	1	0	0	0	0	0	0	0	0	11	6	2201	2159	31	31	0	0	S	83683	                  Lactobacillus amylolyticus
0.0003	153	153	3	3	19	19	84	84	0	0	0	0	0	0	0	0	0	0	5	5	42	42	0	0	0	0	S1	585524	                    Lactobacillus amylolyticus DSM 11664
0.0132	5869	5801	76	76	911	902	3340	3299	1	1	0	0	0	0	0	0	2	2	57	56	1452	1436	30	29	0	0	S	1613	                  Lactobacillus fermentum
0.0001	26	26	0	0	4	4	15	15	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	S1	334390	                    Lactobacillus fermentum IFO 3956
0.0001	25	25	0	0	4	4	15	15	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	S1	525325	                    Lactobacillus fermentum ATCC 14931
0.0000	15	15	0	0	1	1	11	11	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	S1	767453	                    Lactobacillus fermentum F-6
0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	S1	575599	                    Lactobacillus fermentum 28-3-CHN
0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	S1	1407052	                    Lactobacillus fermentum L930BB
0.0094	4171	0	63	0	417	0	2016	0	0	0	1	0	3	0	0	0	0	0	472	0	1169	0	28	0	2	0	S	227943	                  Lactobacillus antri
0.0094	4171	4171	63	63	417	417	2016	2016	0	0	1	1	3	3	0	0	0	0	472	472	1169	1169	28	28	2	2	S1	525309	                    Lactobacillus antri DSM 16041
0.0090	4007	4007	69	69	624	624	1828	1828	3	3	0	0	0	0	0	0	0	0	16	16	1440	1440	27	27	0	0	S	2042044	                  Lactobacillus sp. UMNPBX3
0.0085	3781	0	28	0	127	0	1005	0	0	0	0	0	1	0	0	0	0	0	111	0	2473	0	36	0	0	0	S	238015	                  Lactobacillus vini
0.0085	3781	3781	28	28	127	127	1005	1005	0	0	0	0	1	1	0	0	0	0	111	111	2473	2473	36	36	0	0	S1	1133851	                    Lactobacillus vini JP7.8.9
0.0075	3314	3085	38	37	492	467	1589	1433	1	1	0	0	1	1	0	0	0	0	164	163	1015	969	14	14	0	0	S	267818	                  Lactobacillus kefiranofaciens
0.0005	229	0	1	0	25	0	156	0	0	0	0	0	0	0	0	0	0	0	1	0	46	0	0	0	0	0	S1	190906	                    Lactobacillus kefiranofaciens subsp. kefirgranum
0.0072	3185	3185	40	40	380	380	2174	2174	0	0	0	0	1	1	0	0	0	0	14	14	576	576	0	0	0	0	S	1579	                  Lactobacillus acidophilus
0.0064	2832	2832	35	35	498	498	1521	1521	1	1	0	0	0	0	0	0	0	0	8	8	764	764	5	5	0	0	S	1572760	                  Lactobacillus sp. OTU4228
0.0061	2713	2685	34	33	260	256	1198	1182	0	0	0	0	0	0	0	0	0	0	0	0	1204	1197	17	17	0	0	S	137357	                  Lactobacillus equi
0.0001	28	28	1	1	4	4	16	16	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	S1	1423740	                    Lactobacillus equi DSM 15833 = JCM 10991
0.0056	2499	0	33	0	359	0	1254	0	0	0	0	0	0	0	0	0	0	0	25	0	819	0	9	0	0	0	S	227945	                  Lactobacillus ultunensis
0.0056	2499	2499	33	33	359	359	1254	1254	0	0	0	0	0	0	0	0	0	0	25	25	819	819	9	9	0	0	S1	525365	                    Lactobacillus ultunensis DSM 16047
0.0039	1749	1749	9	9	216	216	855	855	1	1	2	2	0	0	0	0	1	1	388	388	274	274	3	3	0	0	S	2042046	                  Lactobacillus sp. UMNPBX1
0.0037	1664	0	26	0	193	0	792	0	0	0	0	0	1	0	0	0	0	0	13	0	624	0	14	0	1	0	S	104955	                  Lactobacillus frumenti
0.0037	1664	1664	26	26	193	193	792	792	0	0	0	0	1	1	0	0	0	0	13	13	624	624	14	14	1	1	S1	1423746	                    Lactobacillus frumenti DSM 13145
0.0035	1572	0	17	0	287	0	836	0	0	0	0	0	0	0	0	0	0	0	1	0	426	0	5	0	0	0	S	116089	                  Lactobacillus psittaci
0.0035	1572	1572	17	17	287	287	836	836	0	0	0	0	0	0	0	0	0	0	1	1	426	426	5	5	0	0	S1	1122152	                    Lactobacillus psittaci DSM 15354
0.0028	1266	1266	13	13	180	180	531	531	0	0	0	0	2	2	0	0	0	0	32	32	484	484	4	4	20	20	S	2042029	                  Lactobacillus sp. UMNPBX18
0.0028	1234	1072	16	14	209	178	639	568	0	0	0	0	0	0	0	0	0	0	119	94	242	214	5	3	4	1	S	1596	                  Lactobacillus gasseri
0.0002	85	85	2	2	13	13	36	36	0	0	0	0	0	0	0	0	0	0	16	16	16	16	0	0	2	2	S1	575604	                    Lactobacillus gasseri SV-16A-US
0.0002	68	68	0	0	18	18	35	35	0	0	0	0	0	0	0	0	0	0	0	0	12	12	2	2	1	1	S1	1346615	                    Lactobacillus gasseri 2016
0.0000	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	S1	630527	                    Lactobacillus gasseri 202-4
0.0022	997	997	8	8	175	175	515	515	0	0	0	0	0	0	0	0	0	0	0	0	297	297	2	2	0	0	S	2069354	                  Lactobacillus sp. ESL0233
0.0021	945	945	12	12	78	78	477	477	0	0	0	0	2	2	0	0	0	0	12	12	355	355	9	9	0	0	S	396268	                  Lactobacillus secaliphilus
0.0015	650	650	7	7	146	146	296	296	1	1	0	0	0	0	0	0	0	0	15	15	180	180	5	5	0	0	S	1605	                  Lactobacillus animalis
0.0014	638	0	8	0	57	0	301	0	0	0	0	0	0	0	0	0	0	0	4	0	266	0	2	0	0	0	S	872327	                  Lactobacillus pasteurii
0.0014	638	638	8	8	57	57	301	301	0	0	0	0	0	0	0	0	0	0	4	4	266	266	2	2	0	0	S1	1423790	                    Lactobacillus pasteurii DSM 23907 = CRBIP 24.76
0.0013	562	535	11	10	99	96	277	258	0	0	0	0	0	0	0	0	0	0	1	1	172	168	2	2	0	0	S	1600	                  Lactobacillus acetotolerans
0.0001	27	27	1	1	3	3	19	19	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	S1	1423714	                    Lactobacillus acetotolerans DSM 20749 = JCM 3825
0.0012	552	552	8	8	95	95	296	296	0	0	0	0	0	0	0	0	0	0	1	1	151	151	1	1	0	0	S	2042041	                  Lactobacillus sp. UMNPBX6
0.0012	524	524	3	3	102	102	261	261	0	0	0	0	0	0	0	0	0	0	9	9	143	143	1	1	5	5	S	2042031	                  Lactobacillus sp. UMNPBX16
0.0010	437	437	0	0	34	34	68	68	1	1	0	0	4	4	0	0	3	3	268	268	58	58	0	0	1	1	S	2042038	                  Lactobacillus sp. UMNPBX9
0.0010	425	0	4	0	49	0	211	0	0	0	0	0	0	0	0	0	0	0	2	0	159	0	0	0	0	0	S	96565	                  Lactobacillus hamsteri
0.0010	425	425	4	4	49	49	211	211	0	0	0	0	0	0	0	0	0	0	2	2	159	159	0	0	0	0	S1	1423754	                    Lactobacillus hamsteri DSM 5661 = JCM 6256
0.0009	420	420	5	5	42	42	190	190	0	0	0	0	0	0	0	0	0	0	2	2	176	176	5	5	0	0	S	1926284	                  Lactobacillus sp. Marseille-P3519
0.0008	370	315	1	1	29	16	90	59	0	0	0	0	1	1	0	0	1	1	142	140	105	97	0	0	1	0	S	1584	                  Lactobacillus delbrueckii
0.0001	26	23	0	0	10	9	10	9	0	0	0	0	0	0	0	0	0	0	1	1	5	4	0	0	0	0	S1	1585	                    Lactobacillus delbrueckii subsp. bulgaricus
0.0001	23	23	0	0	3	3	15	15	0	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	1	1	S1	83684	                    Lactobacillus delbrueckii subsp. delbrueckii
0.0000	4	4	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	S1	29397	                    Lactobacillus delbrueckii subsp. lactis
0.0000	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	S1	249265	                    Lactobacillus delbrueckii subsp. indicus
0.0008	343	342	0	0	7	7	14	13	0	0	0	0	12	12	0	0	0	0	3	3	248	248	2	2	57	57	S	1580	                  Lactobacillus brevis
0.0000	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	S1	1001583	                    Lactobacillus brevis KB290
0.0007	314	0	3	0	60	0	173	0	0	0	0	0	0	0	0	0	0	0	20	0	55	0	3	0	0	0	S	151781	                  Lactobacillus intestinalis
0.0007	314	314	3	3	60	60	173	173	0	0	0	0	0	0	0	0	0	0	20	20	55	55	3	3	0	0	S1	1423761	                    Lactobacillus intestinalis DSM 6629
0.0006	279	279	2	2	52	52	138	138	0	0	0	0	0	0	0	0	0	0	3	3	80	80	4	4	0	0	S	1625	                  Lactobacillus sanfranciscensis
0.0006	269	0	1	0	39	0	128	0	0	0	0	0	0	0	0	0	0	0	14	0	87	0	0	0	0	0	S	227944	                  Lactobacillus kalixensis
0.0006	269	269	1	1	39	39	128	128	0	0	0	0	0	0	0	0	0	0	14	14	87	87	0	0	0	0	S1	1423763	                    Lactobacillus kalixensis DSM 16043
0.0006	261	261	3	3	24	24	123	123	0	0	0	0	0	0	0	0	0	0	0	0	110	110	1	1	0	0	S	2306423	                  Lactobacillus sp. FI11369
0.0005	220	120	2	1	22	8	117	62	0	0	0	0	0	0	0	0	0	0	0	0	79	49	0	0	0	0	S	420645	                  Lactobacillus equicursoris
0.0001	64	64	1	1	13	13	35	35	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	S1	1293597	                    Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162
0.0001	36	36	0	0	1	1	20	20	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	S1	872326	                    Lactobacillus equicursoris 66c
0.0005	201	201	2	2	34	34	107	107	0	0	0	0	0	0	0	0	0	0	30	30	28	28	0	0	0	0	S	97137	                  Lactobacillus sp. ASF360
0.0004	172	137	1	0	0	0	10	8	0	0	0	0	0	0	0	0	1	1	146	120	13	7	1	1	0	0	S	1623	                  Lactobacillus ruminis
0.0001	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	22	1	1	0	0	0	0	S1	525362	                    Lactobacillus ruminis ATCC 25644
0.0000	8	8	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	S1	1402208	                    Lactobacillus ruminis DPC 6832
0.0000	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	S1	1040964	                    Lactobacillus ruminis SPM0211
0.0004	170	164	3	3	19	19	83	80	0	0	0	0	0	0	0	0	0	0	1	0	63	61	1	1	0	0	S	147802	                  Lactobacillus iners
0.0000	3	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	S1	928328	                    Lactobacillus iners UPII 60-B
0.0000	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	S1	879295	                    Lactobacillus iners SPIN 1401G
0.0000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	S1	879297	                    Lactobacillus iners LactinV 01V1-a
0.0004	156	156	2	2	16	16	29	29	0	0	0	0	2	2	0	0	0	0	79	79	28	28	0	0	0	0	S	2042045	                  Lactobacillus sp. UMNPBX2
0.0003	155	155	2	2	20	20	87	87	0	0	0	0	0	0	0	0	0	0	0	0	46	46	0	0	0	0	S	81857	                  Lactobacillus selangorensis
0.0003	154	148	2	1	16	14	56	53	0	0	0	0	1	1	0	0	0	0	12	12	63	63	2	2	2	2	S	1590	                  Lactobacillus plantarum
0.0000	6	6	1	1	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	S1	1382366	                    Lactobacillus plantarum 4_3
0.0003	124	124	2	2	16	16	62	62	0	0	0	0	0	0	0	0	0	0	0	0	44	44	0	0	0	0	S	2042040	                  Lactobacillus sp. UMNPBX7
0.0003	116	71	1	1	25	17	71	44	0	0	0	0	0	0	0	0	0	0	1	1	18	8	0	0	0	0	S	2107999	                  Lactobacillus paragasseri
0.0001	45	45	0	0	8	8	27	27	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	S1	525326	                    Lactobacillus paragasseri JV-V03
